,Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating,Date_formatted,season,season_name,Hour,time_of_day,Month,Day,rating_label,Cummulative_Sales
17,765-26-6951,A,Yangon,Normal,Male,Sports and travel,72.61,6,21.78,457.44,1/1/2019,10:39:00,Credit card,435.66,4.76,21.78,6.9,2019-01-01,1,Winter,10,Morning,1,1,Moderate,457.44
523,133-14-7229,C,Naypyitaw,Normal,Male,Health and beauty,62.87,2,6.29,132.03,1/1/2019,11:43:00,Cash,125.74,4.76,6.29,5.0,2019-01-01,1,Winter,11,Morning,1,1,Very low,589.47
839,271-77-8740,C,Naypyitaw,Member,Female,Sports and travel,29.22,6,8.77,184.09,1/1/2019,11:40:00,Ewallet,175.32,4.76,8.77,5.0,2019-01-01,1,Winter,11,Morning,1,1,Very low,773.5600000000001
970,746-04-1077,B,Mandalay,Member,Female,Food and beverages,84.63,10,42.32,888.62,1/1/2019,11:36:00,Credit card,846.3,4.76,42.32,9.0,2019-01-01,1,Winter,11,Morning,1,1,Very High,1662.18
567,651-88-7328,A,Yangon,Normal,Female,Fashion accessories,65.74,9,29.58,621.24,1/1/2019,13:55:00,Cash,591.66,4.76,29.58,7.7,2019-01-01,1,Winter,13,Noon,1,1,High,2283.42
245,530-90-9855,A,Yangon,Member,Male,Home and lifestyle,47.59,8,19.04,399.76,1/1/2019,14:47:00,Cash,380.72,4.76,19.04,5.7,2019-01-01,1,Winter,14,Noon,1,1,Low,2683.1800000000003
829,416-17-9926,A,Yangon,Member,Female,Electronic accessories,74.22,10,37.11,779.31,1/1/2019,14:42:00,Credit card,742.2,4.76,37.11,4.3,2019-01-01,1,Winter,14,Noon,1,1,Very low,3462.4900000000002
496,556-97-7101,C,Naypyitaw,Normal,Female,Electronic accessories,63.22,2,6.32,132.76,1/1/2019,15:51:00,Cash,126.44,4.76,6.32,8.5,2019-01-01,1,Winter,15,Noon,1,1,High,3595.25
450,891-01-7034,B,Mandalay,Normal,Female,Electronic accessories,74.71,6,22.41,470.67,1/1/2019,19:07:00,Cash,448.26,4.76,22.41,6.7,2019-01-01,1,Winter,19,Evening,1,1,Moderate,4065.92
484,493-65-6248,C,Naypyitaw,Member,Female,Sports and travel,36.98,10,18.49,388.29,1/1/2019,19:48:00,Credit card,369.8,4.76,18.49,7.0,2019-01-01,1,Winter,19,Evening,1,1,Moderate,4454.21
856,770-42-8960,B,Mandalay,Normal,Male,Food and beverages,21.12,8,8.45,177.41,1/1/2019,19:31:00,Cash,168.96,4.76,8.45,6.3,2019-01-01,1,Winter,19,Evening,1,1,Low,4631.62
696,182-52-7000,A,Yangon,Member,Female,Sports and travel,27.04,4,5.41,113.57,1/1/2019,20:26:00,Ewallet,108.16,4.76,5.41,6.9,2019-01-01,1,Winter,20,Evening,1,1,Moderate,4745.19
410,244-08-0162,B,Mandalay,Normal,Female,Health and beauty,34.21,10,17.1,359.2,1/2/2019,13:00:00,Cash,342.1,4.76,17.1,5.1,2019-01-02,1,Winter,13,Noon,1,2,Very low,5104.389999999999
425,198-84-7132,B,Mandalay,Member,Male,Fashion accessories,40.61,9,18.27,383.76,1/2/2019,13:40:00,Cash,365.49,4.76,18.27,7.0,2019-01-02,1,Winter,13,Noon,1,2,Moderate,5488.15
558,712-39-0363,A,Yangon,Member,Male,Food and beverages,41.66,6,12.5,262.46,1/2/2019,15:24:00,Ewallet,249.96,4.76,12.5,5.6,2019-01-02,1,Winter,15,Noon,1,2,Low,5750.61
88,504-35-8843,A,Yangon,Normal,Male,Sports and travel,42.47,1,2.12,44.59,1/2/2019,16:57:00,Cash,42.47,4.76,2.12,5.7,2019-01-02,1,Winter,16,Noon,1,2,Low,5795.2
744,345-68-9016,C,Naypyitaw,Member,Female,Sports and travel,31.67,8,12.67,266.03,1/2/2019,16:19:00,Credit card,253.36,4.76,12.67,5.6,2019-01-02,1,Winter,16,Noon,1,2,Low,6061.23
300,446-47-6729,C,Naypyitaw,Normal,Male,Fashion accessories,99.82,2,9.98,209.62,1/2/2019,18:09:00,Credit card,199.64,4.76,9.98,6.7,2019-01-02,1,Winter,18,Evening,1,2,Moderate,6270.849999999999
451,744-09-5786,B,Mandalay,Normal,Male,Electronic accessories,22.01,6,6.6,138.66,1/2/2019,18:50:00,Cash,132.06,4.76,6.6,7.6,2019-01-02,1,Winter,18,Evening,1,2,High,6409.509999999999
837,670-71-7306,B,Mandalay,Normal,Male,Sports and travel,44.63,6,13.39,281.17,1/2/2019,20:08:00,Credit card,267.78,4.76,13.39,5.1,2019-01-02,1,Winter,20,Evening,1,2,Very low,6690.679999999999
541,343-87-0864,C,Naypyitaw,Member,Male,Health and beauty,75.88,1,3.79,79.67,1/3/2019,10:30:00,Credit card,75.88,4.76,3.79,7.1,2019-01-03,1,Winter,10,Morning,1,3,Moderate,6770.349999999999
170,249-42-3782,A,Yangon,Normal,Male,Health and beauty,70.01,5,17.5,367.55,1/3/2019,11:36:00,Ewallet,350.05,4.76,17.5,5.5,2019-01-03,1,Winter,11,Morning,1,3,Low,7137.9
205,749-24-1565,A,Yangon,Normal,Female,Health and beauty,23.03,9,10.36,217.63,1/3/2019,12:02:00,Ewallet,207.27,4.76,10.36,7.9,2019-01-03,1,Winter,12,Morning,1,3,High,7355.53
777,875-31-8302,B,Mandalay,Normal,Male,Sports and travel,93.38,1,4.67,98.05,1/3/2019,13:07:00,Cash,93.38,4.76,4.67,9.6,2019-01-03,1,Winter,13,Noon,1,3,Very High,7453.58
374,422-29-8786,A,Yangon,Normal,Female,Home and lifestyle,67.09,5,16.77,352.22,1/3/2019,16:47:00,Credit card,335.45,4.76,16.77,9.1,2019-01-03,1,Winter,16,Noon,1,3,Very High,7805.8
271,687-15-1097,C,Naypyitaw,Member,Female,Health and beauty,21.12,2,2.11,44.35,1/3/2019,19:17:00,Cash,42.24,4.76,2.11,9.7,2019-01-03,1,Winter,19,Evening,1,3,Very High,7850.150000000001
987,552-44-5977,B,Mandalay,Member,Male,Health and beauty,62.0,8,24.8,520.8,1/3/2019,19:08:00,Credit card,496.0,4.76,24.8,6.2,2019-01-03,1,Winter,19,Evening,1,3,Low,8370.95
934,501-61-1753,B,Mandalay,Normal,Female,Home and lifestyle,63.15,6,18.94,397.84,1/3/2019,20:24:00,Ewallet,378.9,4.76,18.94,9.8,2019-01-03,1,Winter,20,Evening,1,3,Very High,8768.79
213,656-16-1063,B,Mandalay,Normal,Male,Sports and travel,46.42,3,6.96,146.22,1/4/2019,13:24:00,Credit card,139.26,4.76,6.96,4.4,2019-01-04,1,Winter,13,Noon,1,4,Very low,8915.01
269,731-14-2199,A,Yangon,Member,Female,Home and lifestyle,35.54,10,17.77,373.17,1/4/2019,13:34:00,Ewallet,355.4,4.76,17.77,7.0,2019-01-04,1,Winter,13,Noon,1,4,Moderate,9288.18
412,132-23-6451,A,Yangon,Member,Male,Health and beauty,20.97,5,5.24,110.09,1/4/2019,13:21:00,Cash,104.85,4.76,5.24,7.8,2019-01-04,1,Winter,13,Noon,1,4,High,9398.27
206,672-51-8681,C,Naypyitaw,Member,Female,Electronic accessories,66.65,9,29.99,629.84,1/4/2019,18:19:00,Credit card,599.85,4.76,29.99,9.7,2019-01-04,1,Winter,18,Evening,1,4,Very High,10028.11
